Country Name,Country Code,Series,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Saudi Arabia,SAU,PISA: Distribution of Mathematics Scores: 75th Percentile Score,LO.PISA.MAT.P75,..,..,..,..,..,..,..,..,..,425.9722,..
Saudi Arabia,SAU,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",UIS.MATH.LOWERSEC,..,..,20.17682,..,..,..,11.1165,..,..,..,..
Saudi Arabia,SAU,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",UIS.MATH.PRIMARY,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,"Out-of-school adolescents and youth of secondary school age, both sexes (number)",UIS.OFST.2T3.CP,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,561905,553211,550287,503229,540858,541676,563931,..,..,..,681296
Senegal,SEN,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",UIS.ROFST.2T3.CP,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,(De Facto) Percent of teachers proficient in the subject of mathematics,SE.PRM.CONT.3,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,"Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",UIS.FOSGP.5T8.FNON500600700,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,"Percentage of graduates from tertiary education graduating from Natural Sciences, Mathematics and Statistics programmes, both sexes (%)",SE.TER.GRAD.SC.ZS,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,PISA: 15-year-olds by mathematics proficiency level (%). Below Level 1,LO.PISA.MAT.0,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,PISA: 15-year-olds by mathematics proficiency level (%). Level 1,LO.PISA.MAT.1,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,PISA: 15-year-olds by mathematics proficiency level (%). Level 2,LO.PISA.MAT.2,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,PISA: 15-year-olds by mathematics proficiency level (%). Level 3,LO.PISA.MAT.3,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,PISA: 15-year-olds by mathematics proficiency level (%). Level 4,LO.PISA.MAT.4,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,PISA: 15-year-olds by mathematics proficiency level (%). Level 5,LO.PISA.MAT.5,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,PISA: 15-year-olds by mathematics proficiency level (%). Level 6,LO.PISA.MAT.6,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,PISA: Distribution of Mathematics Scores: 10th Percentile Score,LO.PISA.MAT.P10,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,PISA: Distribution of Mathematics Scores: 25th Percentile Score,LO.PISA.MAT.P25,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,PISA: Distribution of Mathematics Scores: 50th Percentile Score,LO.PISA.MAT.P50,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,PISA: Distribution of Mathematics Scores: 5th Percentile Score,LO.PISA.MAT.P05,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,PISA: Distribution of Mathematics Scores: 75th Percentile Score,LO.PISA.MAT.P75,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",UIS.MATH.LOWERSEC,..,..,..,..,..,..,7.70825,..,..,..,..
Senegal,SEN,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",UIS.MATH.PRIMARY,..,..,..,..,..,29.1,..,..,..,..,..
Serbia,SRB,"Out-of-school adolescents and youth of secondary school age, both sexes (number)",UIS.OFST.2T3.CP,59329,58756,38768,36478,35253,40675,30854,34296,35386,37960,40586
Serbia,SRB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,9982,15004,7458,10495,10006,3423,2187,2253,2752,3815,4887
Serbia,SRB,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",UIS.ROFST.2T3.CP,8.9887,9.09216,6.30242,6.07056,5.97076,7.00064,5.3892,6.05125,6.27824,6.75804,7.25142
Serbia,SRB,(De Facto) Percent of teachers proficient in the subject of mathematics,SE.PRM.CONT.3,..,..,..,..,..,..,..,..,..,..,..
Serbia,SRB,"Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",UIS.FOSGP.5T8.FNON500600700,77.8769,75.51498,73.80963,73.8232,..,..,74.12328,74.09093,73.36228,71.87376,71.64532
Serbia,SRB,"Percentage of graduates from tertiary education graduating from Natural Sciences, Mathematics and Statistics programmes, both sexes (%)",SE.TER.GRAD.SC.ZS,2.59167,2.26892,3.61986,3.10376,..,..,4.44744,4.5245,4.02744,5.19975,4.48763
Serbia,SRB,PISA: 15-year-olds by mathematics proficiency level (%). Below Level 1,LO.PISA.MAT.0,17.6400939658201,..,..,15.49906029841,..,..,..,..,..,18.1130908568683,..
Serbia,SRB,PISA: 15-year-olds by mathematics proficiency level (%). Level 1,LO.PISA.MAT.1,22.9426498164188,..,..,23.410839312163,..,..,..,..,..,21.6366359695541,..
Serbia,SRB,PISA: 15-year-olds by mathematics proficiency level (%). Level 2,LO.PISA.MAT.2,26.4568606844779,..,..,26.5303819801535,..,..,..,..,..,24.0819584001175,..
Serbia,SRB,PISA: 15-year-olds by mathematics proficiency level (%). Level 3,LO.PISA.MAT.3,19.9357018768835,..,..,19.5120641825288,..,..,..,..,..,19.2080724169722,..
Serbia,SRB,PISA: 15-year-olds by mathematics proficiency level (%). Level 4,LO.PISA.MAT.4,9.48692019948616,..,..,10.4767530006944,..,..,..,..,..,11.7327325665843,..
